fight_environment_skill-10000001,能量護盾
fight_environment_skill-10000723,火力全開
fight_environment_skill-20000723,我方全體射速提升100%
fight_environment_skill-10000724,應急護盾
fight_environment_skill-20000724,每隔10秒時間恢復我方已損失血量30%的護盾持續6秒
fight_environment_skill-10000725,隨機打擊
fight_environment_skill-20000725,每隔10秒隨機弱化一個敵方單位，大幅降低該單位屬性（傷害，射速，命中，閃避，護甲）降低50%
fight_environment_skill-10000726,槍械故障
fight_environment_skill-20000726,我方射速降低50%
fight_environment_skill-10000727,領袖之風
fight_environment_skill-20000727,我方隊長傷害、命中、迴避、護甲和暴擊率提升50%
fight_environment_skill-10000728,凝神射擊
fight_environment_skill-20000728,降低我方射速20%但提升我方傷害20%和命中20%
fight_environment_skill-10000729,應急護盾
fight_environment_skill-20000729,每隔10秒時間恢復我方已損失血量30%的護盾持續6秒
fight_environment_skill-10000730,手槍專精
fight_environment_skill-20000730,提升我方手槍人形技能冷卻20%
fight_environment_skill-10000731,衝鋒專精
fight_environment_skill-20000731,提升我方衝鋒槍命中和閃避100%
fight_environment_skill-10000732,步槍專精
fight_environment_skill-20000732,提升我方步槍人形射速和暴擊率20%
fight_environment_skill-10000733,突擊專精
fight_environment_skill-20000733,提升我方突擊步槍人形20%傷害和100%命中
fight_environment_skill-10000734,霰彈專精
fight_environment_skill-20000734,提升我方霰彈人形20%護甲和20%傷害減免
fight_environment_skill-10000735,機槍專精
fight_environment_skill-20000735,增加我方機槍人形15彈鏈
fight_environment_skill-10000736,天佑之人
fight_environment_skill-20000736,我方人形開場獲得自身最大生命值20%護盾持續10秒
fight_environment_skill-10000737,突擊號令
fight_environment_skill-20000737,我方全體射速提升50%
fight_environment_skill-10000738,急速攻擊
fight_environment_skill-20000738,我方前置冷卻時間縮減50%
fight_environment_skill-10000739,暴怒號令
fight_environment_skill-20000739,爆傷提升50%
fight_environment_skill-10000740,全面出擊
fight_environment_skill-20000740,每有1種槍種全體提升30%傷害、射速、命中、閃避
fight_environment_skill-10000741,清除指令
fight_environment_skill-20000741,每隔8秒清除我方有益狀態
fight_environment_skill-10000742,暴擊壓制
fight_environment_skill-20000742,暴擊率降低100%
fight_environment_skill-10000743,信道中斷
fight_environment_skill-20000743,每次使用技能後技能冷卻增加100%
