enemy_illustration_skill-10000999,待更新
enemy_illustration_skill-20000016,對我方隨機單位投擲範圍傷害的爆破榴彈//c
enemy_illustration_skill-10000017,獨眼巨人·霰彈
enemy_illustration_skill-20000017,用霰彈對距離最近的三個我方單位造成傷害
enemy_illustration_skill-10000018,掃射
enemy_illustration_skill-20000018,九頭蛇每三次普攻後會執行一次掃射，對面前一定範圍的我方單位造成大量傷害
enemy_illustration_skill-10000019,指靈佈雷
enemy_illustration_skill-20000019,向前移動//c並在檢測到我方單位後佈置地雷，地雷將在接觸到我方單位後被觸發//c從而對我方單位造成傷害
enemy_illustration_skill-10000020,電磁炮
enemy_illustration_skill-20000020,電磁炮經過一段時間的蓄力後，對一橫排的我方所有單位造成貫穿傷害
enemy_illustration_skill-10000021,增援
enemy_illustration_skill-20000021,檢測到我方單位後將持續向場內派遣增援單位。
enemy_illustration_skill-10000022,近距離打擊
enemy_illustration_skill-20000022,接觸我方單位後停止移動，並對我方單位造成傷害
enemy_illustration_skill-10000023,爆破箭
enemy_illustration_skill-20000023,向預警位置射出爆炸箭造成破甲傷害，並引燃目標位置//c對區域上的我方單位造成持續3秒的燃燒傷害
enemy_illustration_skill-10000024,精密防禦
enemy_illustration_skill-20000024,張開一個等同現有血量0.8%的減傷盾，該狀態下歐特魯斯受到的傷害固定為1，持續6秒//c護盾持續時間內敵方單位無法進行普攻。減傷盾若被破壞將會對歐特魯斯造成最大生命值50%的傷害。
enemy_illustration_skill-10000025,彌諾陶洛斯電磁衝擊
enemy_illustration_skill-20000025,手部發射電磁光束//c對面前小範圍的我方單位造成傷害。
enemy_illustration_skill-10000026,減傷
enemy_illustration_skill-20000026,彌諾陶洛斯進入無法攻擊的防禦狀態，減少80%自身所受傷害。該狀態持續5秒。
enemy_illustration_skill-10000033,導彈轟擊
enemy_illustration_skill-20000033,一次性發射儲備的導彈，在預警後對我方隨機4格造成傷害，在一場戰鬥中該技能只可發動一次。
enemy_illustration_skill-10000027,劍盾士
enemy_illustration_skill-20000027,劍盾士擁有獨特的光束武器普攻//c鎖定我方最前排單位//c對其造成可以攻擊到整個橫排的貫穿傷害。
enemy_illustration_skill-10000028,榴彈打擊
enemy_illustration_skill-20000028,發射榴彈//c對最前排的我方單位造成傷害。
enemy_illustration_skill-10000029,全彈發射
enemy_illustration_skill-20000029,向我方部隊最高8格的範圍內投擲榴彈，在預警後對目標位置造成較高傷害
enemy_illustration_skill-10000030,坦克普攻
enemy_illustration_skill-20000030,攻擊最前排的我方單位
enemy_illustration_skill-10000031,槍騎兵
enemy_illustration_skill-20000031,發射榴彈//c對最前排的我方單位造成傷害。
enemy_illustration_skill-10000032,衝撞
enemy_illustration_skill-20000032,在預警後衝撞面前的我方單位//c對一橫排的預警範圍造成傷害
enemy_illustration_skill-10000034,咆哮打擊
enemy_illustration_skill-20000034,對正前方我方單位造成傷害，並降低受攻擊單位30%移速和30%射速。
enemy_illustration_skill-10000035,力場回溯
enemy_illustration_skill-20000035,角鬥士進入力場修復狀態//c每秒回復部分力場//c持續5秒。
enemy_illustration_skill-10000036,護盾展開
enemy_illustration_skill-20000036,張開一個等同於最大生命值150%血量的護盾//c持續10秒。
enemy_illustration_skill-10000037,機動戰術
enemy_illustration_skill-20000037,提高自身迴避1900%//c轉換攻擊模式至狙擊模式
enemy_illustration_skill-10000038,狙擊模式
enemy_illustration_skill-20000038,降低自身攻速50%//c提升傷害150%//c對我方造成無視護甲的必中傷害//c持續6秒
enemy_illustration_skill-10000039,干擾射擊
enemy_illustration_skill-20000039,每3秒的下一次普通攻擊額外降低目標20%命中和20%迴避//c最高疊加3層//c持續3秒。
enemy_illustration_skill-10000040,心智震顫
enemy_illustration_skill-20000040,持續前進//c每隔4秒暈眩自身2範圍內的我方單位//c持續2秒。
enemy_illustration_skill-10000041,血色潮汐
enemy_illustration_skill-20000041,鎖定任意一名我方人形//c該人形心智受到干擾將無法執行任何指令。 然後以其為中心//c對十字範圍內的我方單位造成傷害。技能施放過程中妮莫金會召喚一位幻影，擊破該單位將中斷血色潮汐的釋放。
enemy_illustration_skill-10000042,感召儀式
enemy_illustration_skill-20000042,持續召喚帕拉蒂斯方單位從墨丘蘿絲後方加入戰場。
enemy_illustration_skill-10000043,行星之棺
enemy_illustration_skill-20000043,鎖定輸出最高的我方人形//c該人形心智受到影響將持續受到傷害//c同時墨丘蘿絲將持續回復自己的生命值。技能釋放過程中墨丘蘿絲會為自己展開4000點護盾//c持續8秒//c擊破護盾可以中斷行星之棺的釋放。
enemy_illustration_skill-10000044,終焉花海
enemy_illustration_skill-20000044,似乎可以摧毀一切的密集彈雨。（進入特殊的彈幕遊戲玩法）
enemy_illustration_skill-10000045,黑色方尖碑
enemy_illustration_skill-20000045,獲得護盾的同時積攢力量//c護盾存在時間越長造成的傷害段數越多範圍越大//c最多將造成3段傷害。若擊中白色標記我方單位，對目標產生額外的爆炸傷害。
enemy_illustration_skill-10000046,純白之夜
enemy_illustration_skill-20000046,獲得護盾的同時積攢力量//c護盾存在時間越長造成的傷害段數越多範圍越大//c最多將造成3段傷害。若擊中黑色標記我方單位，對自己產生額外的護盾。
enemy_illustration_skill-10000047,絆
enemy_illustration_skill-20000047,對三個身位的範圍造成爆炸傷害，被黑涅托的爆炸傷害擊中會被黑色印記標記，被白涅托的爆炸傷害擊中會被白色印記標記。
enemy_illustration_skill-10000048,重裝劈砍
enemy_illustration_skill-20000048,身上有護盾則造成前方3個身位範圍的我方造成傷害//c並降低命中單位30%火力和移速。
enemy_illustration_skill-10000049,護盾展開
enemy_illustration_skill-20000049,張開一個等同於最大生命值20%血量的護盾//c持續8秒。
enemy_illustration_skill-10000050,自衛模式
enemy_illustration_skill-20000050,血量低於30%時//c豎盾並增加50%減傷//c同時停止攻擊和移動。
enemy_illustration_skill-10000051,護盾生成器
enemy_illustration_skill-20000051,為己方全體張開一個等同於最大生命值10%血量的護盾//c持續6秒。
enemy_illustration_skill-10000052,煙霧戰術
enemy_illustration_skill-20000052,隨機向我方區域發射干擾煙霧彈//c降低1.5範圍內的我方單位30%移速和30%命中//c持續5秒。
enemy_illustration_skill-10000053,縱深打擊
enemy_illustration_skill-20000053,鎖定一個前排單位//c在2秒的瞄準後對其發射一枚彈藥//c造成編制傷害//c並對其後方造成較低的編制傷害。
enemy_illustration_skill-10000054,護甲破壞
enemy_illustration_skill-20000054,每次攻擊降低目標護甲10%。持續5秒。
enemy_illustration_skill-10000055,連斬
enemy_illustration_skill-20000055,每3次普攻後的第4次普攻造成雙倍傷害//c同時連斬不會破壞護甲。
enemy_illustration_skill-10000056,精准炮擊
enemy_illustration_skill-20000056,瞄準並開火//c對我方單位造成不可迴避的傷害。
enemy_illustration_skill-10000057,腐蝕瘴氣
enemy_illustration_skill-20000057,對周圍人形持續造成傷害//c保持我方後排儘量遠離該單位。
enemy_illustration_skill-10000058,轉化
enemy_illustration_skill-20000058,吸收周圍小型僵屍的活力並為自己添加護盾//c護盾值由被吸收的單位的數量決定。
enemy_illustration_skill-10000059,鐵血戰術·稻草人
enemy_illustration_skill-20000059,稻草人身邊的三把槍旋轉並同時開火//c對目標單位造成3段傷害。
enemy_illustration_skill-10000060,鐵血戰術·劊子手
enemy_illustration_skill-20000060,劊子手鎖定距離自己最近的單位//c用刀劈砍對我方影響範圍內最多2名單位造成無視護甲的大量傷害。
enemy_illustration_skill-10000061,霧月處刑
enemy_illustration_skill-20000061,更高規格的劊子手戰鬥模組將使用該技能//c對預警區域造成傷害//c刀劈傷害影響範圍為一橫向隊列//c爆炸傷害影響範圍為一豎向隊列//c在兩段傷害交會處的我方單位將受到兩段傷害。
enemy_illustration_skill-10000062,鐵血戰術·獵手
enemy_illustration_skill-20000062,獵手在一段時間內用雙槍高速射擊//c對目標單位造成大量多段傷害。
enemy_illustration_skill-10000063,鐵血戰術·煉金術士
enemy_illustration_skill-20000063,煉金術士躍起並高速移動//c對目標單位造成多段傷害。
enemy_illustration_skill-10000064,鐵血戰術·破壞者
enemy_illustration_skill-20000064,破壞者向空中發射榴彈//c榴彈依次落在一橫向隊列的預警範圍內//c對我方該橫排上的全部單位造成傷害。
enemy_illustration_skill-10000065,蓋婭終結
enemy_illustration_skill-20000065,更高規格的破壞者戰鬥模組將使用該技能//c在大範圍的預警後//c向每個預警位置射出一枚延遲爆裂的榴彈//c對所有預警範圍上的我方單位造成多段傷害。
enemy_illustration_skill-10000066,鐵血戰術·計量官
enemy_illustration_skill-20000066,計量官將在一次攻擊中對目標單位造成4次傷害。
enemy_illustration_skill-10000067,輝之牙
enemy_illustration_skill-20000067,更高規格的計量官戰鬥模組將使用該技能//c在預警後對該區域造成傷害//c鎖定我方一橫向隊列造成兩段無視護甲的必中傷害。
enemy_illustration_skill-10000068,鐵血戰術·建築師
enemy_illustration_skill-20000068,對我方隨機單體投擲榴彈//c造成不可閃避的編制傷害。
enemy_illustration_skill-10000069,狂歡終結
enemy_illustration_skill-20000069,更高規格的建築師戰鬥模組將使用該技能//c隨機鎖定我方任一單體//c以該人形為中心造成十字型的不可閃避範圍傷害。
enemy_illustration_skill-10000070,鐵血戰術·夢想家
enemy_illustration_skill-20000070,預警後對我方單位發射可以貫穿一橫排的雷射//c對路徑上的敵人造成無視護甲的必中傷害。
enemy_illustration_skill-10000071,鐵血戰術·銜尾蛇
enemy_illustration_skill-20000071,圓形浮游炮尾部展開//c發射四枚導彈對目標角色造成4發總計兩倍的傷害。
enemy_illustration_skill-10000072,惡毒綻放
enemy_illustration_skill-20000072,鎖定距離最遠的4名單位並對目標造成必中傷害。
enemy_illustration_skill-10000073,鐵血戰術·法官·審
enemy_illustration_skill-20000073,法官身前出現紫色的護盾//c該狀態下法官擁有額外的護甲值。
enemy_illustration_skill-10000074,鐵血戰術·法官·判
enemy_illustration_skill-20000074,取消防禦狀態//c法官周身發出紫光//c該狀態下法官火力獲得額外的提升。
enemy_illustration_skill-10000075,瘟疫立場
enemy_illustration_skill-20000075,法官高高躍起並對我方隨機一名人形發動飛踢//c在產生傷害的位置留下紫色痕跡//c持續在該紫色範圍內的我方單位將獲得火力下降的負面狀態。
enemy_illustration_skill-10000076,瘟疫立場Ex
enemy_illustration_skill-20000076,更高規格的法官戰鬥模組將使用該技能//c高高躍起並對我方全體人形發動飛踢//c在產生傷害的位置留下紫色痕跡//c持續在該紫色範圍內的我方單位將獲得火力下降的負面狀態。
enemy_illustration_skill-10000077,鐵血戰術·代理人
enemy_illustration_skill-20000077,召喚傀儡分身代理人//c分身持續攻擊但傷害較低//c擁有護甲//c可抵擋少量傷害。
enemy_illustration_skill-10000078,惡兆之鑰
enemy_illustration_skill-20000078,代理人停止攻擊，開啟護盾吸收傷害。如果8秒內不能打破護盾，代理人會撤掉護盾發動毀滅性的攻擊//c全滅我方單位。
enemy_illustration_skill-10000079,鐵血戰術·末日魔犬
enemy_illustration_skill-20000079,向我方中間豎列投擲三發榴彈//c對該豎列上人形造成無視護甲的必中傷害。
enemy_illustration_skill-10000080,滅絕死光
enemy_illustration_skill-20000080,對我方靠後兩排進行顏色一深一淺的預警//c預警後對深色區域發射傷害更高的紅色雷射//c向淺色區域發射一排導彈//c造成計算護甲的必中傷害。
enemy_illustration_skill-10000081,鐵血戰術·M16
enemy_illustration_skill-20000081,每隔15s投擲一枚閃光彈對我方全體單位造成眩暈效果。
enemy_illustration_skill-10000082,信標採集
enemy_illustration_skill-20000082,M16向我方隨機位置呼叫一枚信標，信標將檢測該位置我方單位槍種//c並根據槍種反饋給M16增益效果。手槍<火力提升> 衝鋒槍<命中提升> 步槍<射速提升> 突擊步槍<護甲提升> 機槍<回避提升> 霰彈槍<穿甲提升> 落空將獲得以上全部效果。
enemy_illustration_skill-10000083,厭世者打擊
enemy_illustration_skill-20000083,以我方此次戰鬥中輸出最高的人形為中心呼叫空襲//c鎖定該角色//c對該人形及周圍十字範圍內的我方單位造成傷害。
enemy_illustration_skill-10000084,鐵血戰術·干擾者
enemy_illustration_skill-20000084,使用機槍端在短時間對目標單位造成多段傷害。
enemy_illustration_skill-10000085,蓄力攻擊
enemy_illustration_skill-20000085,每普通攻擊6次後，會進行一次蓄力攻擊，對我方全體造成傷害。
enemy_illustration_skill-10000086,逆向坍塌
enemy_illustration_skill-20000086,每隔一段時間將距離最遠的我方單位浮在空中//c浮在空中的單位不會受到地面上傷害。同時隨著戰鬥的進行//c場景也將隨機出現不受控制的逆向坍塌區域。
enemy_illustration_skill-10000087,終末輝光
enemy_illustration_skill-20000087,對全體造成高額傷害，同時生成3格範圍的逆向坍塌區域。
enemy_illustration_skill-10010018,蟹炮掃射
enemy_illustration_skill-20010018,蟹防炮每三次普攻後會執行一次掃射，對面前一定範圍的我方單位造成大量傷害
enemy_illustration_skill-10010019,危險海星
enemy_illustration_skill-20010019,向前移動//c並在檢測到我方單位後佈置看起來沒什麼危害的海星//c海星將在接觸到我方單位後被觸發//c從而對我方單位造成傷害
enemy_illustration_skill-10010021,瓜瓜滾滾
enemy_illustration_skill-20010021,檢測到我方單位後持續生產球形雙足機……等等？出現的是西瓜？
enemy_illustration_skill-10010022,瓜瓜衝撞
enemy_illustration_skill-20010022,接觸我方單位後停止移動，並對我方單位造成傷害
enemy_illustration_skill-10010005,雇傭兵狙擊
enemy_illustration_skill-20010005,瞄準2.5秒後//c對我方最後排的單位造成一次狙擊傷害。
enemy_illustration_skill-10010087,雞尾酒狂熱
enemy_illustration_skill-20010087,對我方隨機單位投擲燃燒瓶//c3秒的持續時間內每0.33秒製造一次傷害。
enemy_illustration_skill-10010091,墨爾斯假面
enemy_illustration_skill-20010091,對瞄準的敵人造成大量傷害。
enemy_illustration_skill-10010191,精英標記
enemy_illustration_skill-20010191,在標記範圍內的我方單位將極大降低自身的傷害和射速//c同時獲得大量護盾點。
enemy_illustration_skill-10000088,危機防護
enemy_illustration_skill-20000088,該單位每次損失編制時將獲得1秒的無敵//c該特性觸發間隔為6秒。
enemy_illustration_skill-10000089,干擾射擊
enemy_illustration_skill-20000089,每3次常規攻擊後//c下次攻擊對射程內的隨機我方單位產生干擾//c被命中的單位將降低自身火力和射速。
enemy_illustration_skill-10000090,自適應戰術
enemy_illustration_skill-20000090,當該單位受到護盾的保護時//c將使用雙槍射擊//c第二把槍將對目標造成0.5倍的傷害。
enemy_illustration_skill-10000091,陣線強化
enemy_illustration_skill-20000091,戰鬥開始5秒後//c每間隔8秒提升全體射速50%//c持續4秒。
enemy_illustration_skill-10000092,防患未然
enemy_illustration_skill-20000092,戰鬥開始後獲得一定護盾。
enemy_illustration_skill-10000093,壓制
enemy_illustration_skill-20000093,固定對我方陣地內最上側和最下側射擊造成編制傷害//c
enemy_illustration_skill-10000094,爆破
enemy_illustration_skill-20000094,預警後依次對我方陣地內的四格位置發射榴彈//c對範圍內的敵方造成編制傷害。
enemy_illustration_skill-10000095,負罪者懲戒
enemy_illustration_skill-20000095,對我方全體單位造成大量傷害;可在該單位蓄力時擊破護盾//c打斷雷射的釋放從而破壞機甲的武器系統//c對機甲造成傷害。
enemy_illustration_skill-10000096,戰術更新·計量官
enemy_illustration_skill-20000096,在失去了伊萊莎的控制之後尋找著自己的戰鬥方式。每次命中可以為自己的武器充能//c充滿後可以切換到近戰模式並持續一段時間;在近戰模式下造成必中編制傷害//c同時破甲能力大幅提升。
enemy_illustration_skill-10000097,戰術更新·夢想家
enemy_illustration_skill-20000097,在失去了伊萊莎的控制之後尋找著自己的戰鬥方式。每隔一段時間疊加一層怒意//c疊滿後進入爆發模式//c提升100%傷害和射速//c但自身處於100%易傷狀態。
enemy_illustration_skill-10000098,戰術優化·銜尾蛇
enemy_illustration_skill-20000098,在某種狀態下會以更全面的姿態迎戰自己的敵人。每次暴擊後將降低敵方目標的傷害和射速50%;也可以在戰鬥中增援浮游炮協助自己//c同時利用自身卓越的計算能力提升己方全體的射速和暴擊能力。
enemy_illustration_skill-10000099,戰術更新·破壞者
enemy_illustration_skill-20000099,在失去了伊萊莎的控制之後尋找著自己的戰鬥方式。每10次普通攻擊後將對敵方血量最高目標發射一枚必中的榴彈//c造成2倍傷害。
enemy_illustration_skill-10000100,滲透計劃
enemy_illustration_skill-20000100,每間隔8秒無視任何環境向前移動距離2。
enemy_illustration_skill-10000101,陰影之內
enemy_illustration_skill-20000101,身前若存在其他友方單位//c則進入特殊狀態//c大幅提升自身閃避。
enemy_illustration_skill-10000102,街頭技巧
enemy_illustration_skill-20000102,若身前2距離有可攻擊的目標//c則切換至近戰模式造成2倍的必中傷害。
enemy_illustration_skill-10000103,燃燒瓶投擲
enemy_illustration_skill-20000103,對我方隨機單位所在位置投擲燃燒瓶//c5秒的持續時間內每秒製造一次傷害。
enemy_illustration_skill-10000104,可變形斧盾
enemy_illustration_skill-20000104,移動狀態下手中武器為盾模式//c減傷50%;攻擊狀態下手中武器為斧模式//c對目標及其身後單位造成傷害。
enemy_illustration_skill-10000105,彌撒曲
enemy_illustration_skill-20000105,該單位優先攻擊編制更低的單位並造成額外的傷害//c無視護甲;若多個聖歌風琴在攻擊相同的敵人//c造成的傷害將增加。
enemy_illustration_skill-10000106,拔摩之藍
enemy_illustration_skill-20000106,發出藍色的光//c清除我方包括護盾在內的所有正面增益//c並降低我方全體傷害10%。前置cd8秒//c冷卻cd10秒。
enemy_illustration_skill-10000107,拔摩之橙
enemy_illustration_skill-20000107,發出黃色的光//c清除隊友所有的負面狀態//c並賦予自身生命值10%的護盾。前置cd4秒//c冷卻cd10秒。
enemy_illustration_skill-10000108,浮游刀
enemy_illustration_skill-20000108,控制浮游刀對我方造成傷害//c浮游刀獨立存活並每間隔20秒重新刷新。每失去一個浮游刃自身閃避降低20%持續20秒//c浮游刀全部被擊毀該單位進入刺殺者模式。
enemy_illustration_skill-10000109,刺殺者
enemy_illustration_skill-20000109,閃爍並獲得較短時間的無敵//c對我方編制最低的單位造成一段必殺的傷害//c7次刺殺後//c該單位將重新部署浮游刃入場。
enemy_illustration_skill-10000110,利爪
enemy_illustration_skill-20000110,預警一段時間後//c每一把存活的浮游刃都將對我方輸出最高的單位所在區域造成一段必中無視護甲的傷害//c可移動躲避。
enemy_illustration_skill-10000111,蜘蛛干擾
enemy_illustration_skill-20000111,麻痺我方單位//c限制其行動能力//c之後將出現在我方單位面前造成傷害。
enemy_illustration_skill-10000112,孤立無援
enemy_illustration_skill-20000112,鎖定隨機目標//c對該單位造成5段必殺傷害;若該單位上下左右四個區域存在隊友//c每有一個隊友//c傷害減少一段。
enemy_illustration_skill-10000113,自醫
enemy_illustration_skill-20000113,獲得自身已損失生命值50%的護盾。
enemy_illustration_skill-10000114,診斷
enemy_illustration_skill-20000114,根據自身血量可釋放兩次//c我方當前輸出最高的單位技能冷卻時間極大增加。同時//c每間隔10秒將選擇我方血量最低/最高兩個單位分別降低目標的射速/護甲、閃避//c持續5秒。
enemy_illustration_skill-10000115,臨終關懷
enemy_illustration_skill-20000115,部署大量增援單位入場。
enemy_illustration_skill-10000116,增援
enemy_illustration_skill-20000116,部署特定增援單位入場。
enemy_illustration_skill-10000117,固守
enemy_illustration_skill-20000117,舉起盾進入防禦姿態，每秒獲得最大生命值5%的護盾，持續5秒。
enemy_illustration_skill-10000118,能量球
enemy_illustration_skill-20000118,蓄力0.5秒後對最近單位造成150%必中傷害。
enemy_illustration_skill-10000119,迦太基之盾
enemy_illustration_skill-20000119,張開防禦盾，獲得最大生命值50%的護盾。護盾被擊破後陷入當機，賦予自身50%易傷效果。
enemy_illustration_skill-10000120,瘡痍
enemy_illustration_skill-20000120,普攻命中賦予目標重傷標記，每層標記每秒扣除目標0.3%最大生命值的傷害，持續3秒。
enemy_illustration_skill-10000121,凌弱
enemy_illustration_skill-20000121,對目標奮力一擊造成穿盾傷害，同時增加2層重傷標記，目標編制越少，傷害越高，最高倍率為600%。
enemy_illustration_skill-10000122,手榴彈
enemy_illustration_skill-20000122,向目標所在區域投擲手榴彈，對範圍1.5的單位造成0.3倍的編制傷害。
enemy_illustration_skill-10000123,火箭筒
enemy_illustration_skill-20000123,向目標發射火箭筒//c對範圍3內機械單位造成3倍的編制傷害//c對人形單位造成0.1倍的編制傷害。
enemy_illustration_skill-10000124,戰術指揮α
enemy_illustration_skill-20000124,提升全體單位迴避50%，持續5秒
enemy_illustration_skill-10000125,戰術指揮β
enemy_illustration_skill-20000125,提升全體單位傷害和射速20%，持續8秒
enemy_illustration_skill-10000126,致盲光束
enemy_illustration_skill-20000126,對正前方敵人發射一發光束，對接觸到的敵人造成必中傷害並附加致盲效果，即降低命中。
enemy_illustration_skill-10000127,災厄侵襲
enemy_illustration_skill-20000127,向隨機一個影響格發射一枚榴彈，對目標格內造成編制傷害，並污染目標格及其相鄰影響格，在污染範圍內的敵方單位會受到每秒10%的編制傷害並降低護甲和閃避。
enemy_illustration_skill-10000128,炮管易碎
enemy_illustration_skill-20000128,損失50%血量後，炮管掉落，致盲光束不再附加致盲效果，且不再發射污染型榴彈。
enemy_illustration_skill-10000129,雷射光束
enemy_illustration_skill-20000129,對正前方發射一發光束，對接觸到的敵人造成必中傷害。
enemy_illustration_skill-10000130,手持雷射光束
enemy_illustration_skill-20000130,對隨機一個敵人發射一發光束，對接觸到的敵人造成必中傷害並附加致盲效果，即降低命中，每攻擊3次進行一次蓄能，蓄能期間自身閃避下降。
enemy_illustration_skill-10000131,斷翅蝶
enemy_illustration_skill-20000131,鎖定血量最低單位造成必中傷害，標記並降低該單位射速，優先選擇沒有標記的單位，全場標記後只造成傷害。
enemy_illustration_skill-10000132,殘爪
enemy_illustration_skill-20000132,使用鋼爪對身前一定範圍內的目標造成多段穿甲傷害並附帶撕裂效果，被撕裂的目標持續損失少量生命值。
enemy_illustration_skill-10000133,螳刀
enemy_illustration_skill-20000133,使用利劍穿刺身前一列，造成多段的必中傷害。
enemy_illustration_skill-10000134,落空蟬
enemy_illustration_skill-20000134,嘗試刺殺掉場上輸出最高單位的一個編制，對其造成高傷害，被刺殺目標掉編後，緹獲得一層護盾並永久提升自身攻速，在不同的生命值階段：75%，50%，25%，分別發動三次
enemy_illustration_skill-10000135,心智強化
enemy_illustration_skill-20000135,隨機鏈接兩個其友方單位，給目標附加最大生命值10%護盾，同時目標單位的傷害，射速，命中，閃避，護甲值，被鏈接單位死亡時，損失自身生命。鏈接狀態下自身免疫傷害，鏈接狀態持續數秒。
enemy_illustration_skill-10000136,心智弱化
enemy_illustration_skill-20000136,向隨機兩個影響格射出鏈接口，被命中的目標進入當機狀態，根據不同槍種：手槍/衝鋒槍/步槍/突擊步槍/機槍/霰彈槍，分別偷取目標的不同屬性值：技能冷卻/閃避/命中/護盾/傷害/護甲，並等量增加到自身，偷取效果永久有效
enemy_illustration_skill-10000137,心智凝集
enemy_illustration_skill-20000137,偷取一/三/五份心智後，普攻分彆強化至2/3/4級，1級：召喚射擊士；2級：額外召喚警備士；3級：額外召喚指揮士；4級：額外召喚重錘士
enemy_illustration_skill-10000138,曼珠沙華舞
enemy_illustration_skill-20000138,血量低於70%，40%時，鎖定輸出最高的敵方單位，偷取一份心智並對其造成持續傷害直到敵方死亡或鏈接被打斷：自身獲得嘲諷和剛毅盾，多次受擊後，鏈接將斷開
enemy_illustration_skill-10000139,戰術核心
enemy_illustration_skill-20000139,被擊殺後清空場上賦予的增益，全體單位傷害和迴避下降50%，持續10秒。
enemy_illustration_skill-10000140,火力集中
enemy_illustration_skill-20000140,自身會進入嘲諷狀態，成為優先被集火的目標。
enemy_illustration_skill-10000141,豎盾
enemy_illustration_skill-20000141,降低身後單位所受傷害，豎盾期間自身受到一定傷害後，會提前結束豎盾效果。
enemy_illustration_skill-10000142,徵用
enemy_illustration_skill-20000142,偷取當前攻擊目標的命中值並標記，可疊加。普攻會依據標記層數對標記目標造成額外傷害。
enemy_illustration_skill-10000143,掩護號令
enemy_illustration_skill-20000143,提升己方全體迴避。
enemy_illustration_skill-10000144,鐵壁
enemy_illustration_skill-20000144,在場時自身周圍友方單位所受傷害降低，敵方單位傷害降低。
enemy_illustration_skill-10000145,櫻反像
enemy_illustration_skill-20000145,給自身增加一個護盾，持續5秒。若持續時間內護盾破裂，提升自身閃避，否則提升自身火力。
enemy_illustration_skill-10000146,披薩標記
enemy_illustration_skill-20000146,每發子彈會標記敵人，累積到3個標記時，則被標記目標觸發一次額外傷害並同時提升PX4 風暴的傷害。
enemy_illustration_skill-10000147,砍價
enemy_illustration_skill-20000147,敵方暴擊率降低100%（無法暴擊），同時己方全體單位提升攻速。
enemy_illustration_skill-10000148,雪人出擊
enemy_illustration_skill-20000148,在前方召喚出2個雪人，目標敵人受到4次雪人的攻擊後其中單個編製會被標記，當該敵人所有編製都被標記時，凍結（眩暈）該單位並造成額外傷害。
enemy_illustration_skill-10000149,風暴打擊
enemy_illustration_skill-20000149,出現預警範圍傷害，多次打擊對應格子上的單位。
enemy_illustration_skill-10000150,幸運幣
enemy_illustration_skill-20000150,開局我方6枚幸運幣，PX4 風暴3枚幸運幣。我方被紅色標識的投擲物擊中會被奪走1枚幸運幣；被綠色標識的投擲物擊中會奪回1枚幸運幣；在PX4 風暴25%血量之前哪一方獲得全部9枚幸運幣，哪一方直接獲勝。
enemy_illustration_skill-10000151,威懾
enemy_illustration_skill-20000151,降低自身附近2格範圍內敵人傷害。
enemy_illustration_skill-10000152,庇護之盾
enemy_illustration_skill-20000152,張開防護盾，自身後方單位獲得大量傷害減免。
enemy_illustration_skill-10000153,應激反應
enemy_illustration_skill-20000153,每次損失編制後免疫1秒傷害。
enemy_illustration_skill-10000154,重擊
enemy_illustration_skill-20000154,攻擊有機率眩暈目標。
